call_number,unit_id,incident_number,call_type,call_date,watch_date,received_timestamp,entry_timestamp,dispatch_timestamp,response_timestamp,on_scene_timestamp,transport_timestamp,hospital_timestamp,call_final_disposition,available_timestamp,address,city,zipcode_of_incident,battalion,station_area,box,original_priority,priority,final_priority,als_unit,call_type_group,number_of_alarms,unit_type,unit_sequence_in_call_dispatch,fire_prevention_district,supervisor_district,neighborhood_district,location,row_id,latitude,longitude
60100339,SO3,6002862,Structure Fire,2006-01-10,2006-01-10,2006-01-10 19:44:46+00:00,2006-01-10 19:45:39+00:00,2006-01-10 19:46:06+00:00,,,,,Other,2006-01-10 21:46:26+00:00,400 Block of 20TH AVE,SF,94121,B07,14,,3,3,3,False,,2,SUPPORT,27,7,1,,"(37.7793747233139, -122.479242794814)",060100339-SO3,37.7793747233139,-122.479242794814
53360188,B03,5090797,Structure Fire,2005-12-02,2005-12-02,2005-12-02 12:43:02+00:00,2005-12-02 12:45:27+00:00,2005-12-02 12:45:37+00:00,,2005-12-02 12:47:36+00:00,,,Other,2005-12-02 13:06:45+00:00,400 Block of GEARY ST,SF,94102,B01,03,,3,3,3,False,,1,CHIEF,1,1,3,,"(37.7870986576237, -122.410705878297)",053360188-B03,37.7870986576237,-122.410705878297
53430300,M28,5092880,Medical Incident,2005-12-09,2005-12-09,2005-12-09 17:26:21+00:00,2005-12-09 17:28:59+00:00,2005-12-09 17:29:32+00:00,2005-12-09 17:30:42+00:00,2005-12-09 17:49:11+00:00,2005-12-09 17:58:33+00:00,2005-12-09 18:09:36+00:00,Code 2 Transport,2005-12-09 18:29:26+00:00,CYRIL MAGNIN ST/EDDY ST,SF,94102,B03,01,,2,2,2,True,,1,MEDIC,1,3,6,,"(37.7844527288793, -122.408493159961)",053430300-M28,37.7844527288793,-122.408493159961
60050039,M01,6001233,Medical Incident,2006-01-05,2006-01-04,2006-01-05 05:12:27+00:00,2006-01-05 05:15:16+00:00,2006-01-05 05:15:28+00:00,2006-01-05 05:18:34+00:00,2006-01-05 05:21:50+00:00,,,Unable to Locate,2006-01-05 05:22:23+00:00,0 Block of 6TH ST,SF,94103,B03,01,,2,2,2,True,,1,MEDIC,1,3,6,,"(37.7811458612596, -122.409026046516)",060050039-M01,37.7811458612596,-122.409026046516
60100339,B07,6002862,Structure Fire,2006-01-10,2006-01-10,2006-01-10 19:44:46+00:00,2006-01-10 19:45:39+00:00,2006-01-10 19:46:06+00:00,2006-01-10 19:47:04+00:00,2006-01-10 19:48:50+00:00,,,Fire,2006-01-11 00:27:09+00:00,400 Block of 20TH AVE,SF,94121,B07,14,,3,3,3,False,,2,CHIEF,1,7,1,,"(37.7793747233139, -122.479242794814)",060100339-B07,37.7793747233139,-122.479242794814
53360188,D2,5090797,Structure Fire,2005-12-02,2005-12-02,2005-12-02 12:43:02+00:00,2005-12-02 12:45:27+00:00,2005-12-02 12:45:37+00:00,2005-12-02 12:47:03+00:00,2005-12-02 12:51:39+00:00,,,Fire,2005-12-02 13:06:38+00:00,400 Block of GEARY ST,SF,94102,B01,03,,3,3,3,False,,1,CHIEF,9,1,3,,"(37.7870986576237, -122.410705878297)",053360188-D2,37.7870986576237,-122.410705878297
53120372,M32,5084361,Medical Incident,2005-11-08,2005-11-08,2005-11-08 19:34:22+00:00,2005-11-08 19:35:09+00:00,2005-11-08 19:35:26+00:00,2005-11-08 19:36:29+00:00,,,,Other,,3100 Block of 24TH ST,SF,94110,B06,07,,3,3,3,True,,1,MEDIC,3,6,9,,"(37.7524180928571, -122.414623849785)",053120372-M32,37.7524180928571,-122.414623849785
140520216,88,14017645,Administrative,2014-02-21,2014-02-21,2014-02-21 15:15:55+00:00,2014-02-21 15:15:56+00:00,2014-02-21 15:21:00+00:00,2014-02-21 15:21:00+00:00,2014-02-21 15:21:00+00:00,,,Other,2014-02-21 16:31:23+00:00,1400 Block of EVANS AV,,94124,B99,F3,,,3,3,True,,1,MEDIC,1,10,10,,"(37.7413301917564, -122.385748602368)",140520216-88,37.7413301917564,-122.385748602368
53200346,M13,5086533,Traffic Collision,2005-11-16,2005-11-16,2005-11-16 19:36:08+00:00,2005-11-16 19:37:53+00:00,2005-11-16 19:38:31+00:00,2005-11-16 19:39:55+00:00,2005-11-16 19:43:23+00:00,,,Patient Declined Transport,2005-11-16 20:19:20+00:00,900 Block of HARRISON ST,SF,94107,B03,08,,2,2,2,True,,1,MEDIC,1,3,6,,"(37.7788571411274, -122.402162871137)",053200346-M13,37.7788571411274,-122.402162871137
60100339,E20,6002862,Structure Fire,2006-01-10,2006-01-10,2006-01-10 19:44:46+00:00,2006-01-10 19:45:39+00:00,2006-01-10 19:46:06+00:00,2006-01-10 22:31:01+00:00,2006-01-10 22:43:34+00:00,,,Other,2006-01-11 01:43:09+00:00,400 Block of 20TH AVE,SF,94121,B07,14,,3,3,3,False,,2,ENGINE,22,7,1,,"(37.7793747233139, -122.479242794814)",060100339-E20,37.7793747233139,-122.479242794814
