unique_key,created_date,closed_date,resolution_action_updated_date,status,status_notes,agency_name,category,complaint_type,descriptor,incident_address,supervisor_district,neighborhood,location,source,media_url,latitude,longitude,police_district
6078653,2016-07-13 15:11:07+00:00,2016-07-14 12:13:22+00:00,2016-07-14 12:13:22+00:00,Closed,Field Work has been completed.,PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,Not associated with a specific address,,,,Web,,0.0,0.0,
4547561,2015-03-05 09:04:29+00:00,2015-06-09 08:10:50+00:00,2015-06-09 08:10:50+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,Not associated with a specific address,,,,Web,,0.0,0.0,
1332449,2012-08-24 19:33:13+00:00,2014-01-24 11:47:10+00:00,2014-01-24 11:47:10+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,Not associated with a specific address,,,,Web,,0.0,0.0,
3631691,2014-05-11 09:16:48+00:00,2014-05-13 15:24:16+00:00,2014-05-13 15:24:16+00:00,Closed,resolved: Maximo Work Order has been completed       PUC NOTE: confirmed M/H asset ID correct with F Gonzales  noisy m/h cover reset m/h cover w/duct seal (entered by F Gonzales on 5/12/14) reset m/h cover w/duct seal,PUC Sewer Ops,Sewer Issues,Odor,Odor From_manhole_cover,Not associated with a specific address,,,,Web,,0.0,0.0,
5375853,2015-12-15 06:32:10+00:00,,2015-12-15 06:35:17+00:00,Open,open,PUC Sewer Ops,Sewer Issues,Odor,Odor From_other_location,Not associated with a specific address,,,,Web,,0.0,0.0,
4227733,2014-11-20 13:34:31+00:00,,2014-11-20 13:49:29+00:00,Open,open,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Not associated with a specific address,,,,Phone,,37.77483,-122.4185,
5960907,2016-06-09 08:30:26+00:00,2016-06-09 09:07:49+00:00,2016-06-09 09:07:49+00:00,Closed,"Maximo Service Request has been resolved       Add'l Notes:     This has already been inspected by BERM, for odor complaints",PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,Not associated with a specific address,,,,Web,https://311-emappprod.ad.sfgov.org/attachments/viewCaseNoteAttachments.jsp?caseid=5960907,0.0,0.0,
1153216,2012-06-25 15:10:37+00:00,2012-07-18 18:22:52+00:00,2012-07-18 18:22:52+00:00,Closed,resolved: Maximo Service Request has been completed,PUC Sewer Ops,Sewer Issues,Odor,Odor From_side_sewer_vent,Not associated with a specific address,,,,Web,,0.0,0.0,
5061094,2015-09-02 17:32:09+00:00,2015-09-03 06:50:05+00:00,2015-09-03 06:50:05+00:00,Closed,resolved: Maximo Work Order has been cancelled.,PUC Sewer Ops,Sewer Issues,Odor,Odor From_side_sewer_vent,Not associated with a specific address,,,,Web,,0.0,0.0,
4878834,2015-07-03 13:46:22+00:00,2015-07-15 10:54:28+00:00,2015-07-15 10:54:28+00:00,Closed,resolved: Field Work has been completed.       Add'l Notes:      put pine sol and added water to the catch basin in front of 1654 Alemany Blvd. Need a map correction for the catch basin no asset number in database. W. Best called John Seagrave on 7/15/15,PUC Sewer Ops,Sewer Issues,Odor,Odor From_catch_basin,Not associated with a specific address,,,,Web,,0.0,0.0,
5102699,2015-09-16 11:45:42+00:00,2015-09-17 13:20:46+00:00,2015-09-17 13:20:46+00:00,Closed,"resolved: Field Work has been completed.       Add'l Notes:     There is a CB right in front of the business. It has some debris, no odor was present. Created WO to have it cleaned",PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"5317 GEARY BLVD, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.78, -122.483)",Phone,,37.78027,-122.4764,RICHMOND
6326567,2016-09-19 11:20:32+00:00,,2016-09-19 11:22:37+00:00,Open,open,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"899 40TH AVE, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.771981314757, -122.500406362432)",Phone,,37.77198,-122.5004,RICHMOND
1451266,2012-09-20 16:58:08+00:00,2012-09-21 09:25:56+00:00,2012-09-21 09:25:56+00:00,Closed,resolved: Field Work has been completed ck odorCBs here are clear.The odor is wafting out of the 14 MH covers in intersection over the large box sewer.This is an engineering problem as I reported the last 10 times I was sent here.,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 48TH AVE and LINCOLN WAY,1.0,Outer Sunset,"(37.7640760432412, -122.508331303541)",Phone,,37.76408,-122.5083,TARAVAL
3942300,2014-08-22 15:11:58+00:00,2014-08-26 10:37:59+00:00,2014-08-26 10:37:59+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 42ND AVE and BALBOA ST,1.0,Outer Richmond,"(37.7754706392864, -122.502670978249)",Phone,,37.77547,-122.5027,RICHMOND
7471093,2017-08-07 10:47:18+00:00,2017-08-09 15:35:08+00:00,2017-08-09 15:35:08+00:00,Closed,Field Work has been completed.,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"3808 CABRILLO ST, SAN FRANCISCO, CA, 94121",1.0,,"(37.77390878, -122.499625676)",Web,,37.7739,-122.4996,RICHMOND
1066202,2012-02-16 15:24:09+00:00,2012-02-16 16:03:04+00:00,2012-02-16 16:03:04+00:00,Closed,Private Property,311 Supervisor Queue,Sewer Issues,Odor,From_other_location,Intersection of 32ND AVE and CLEMENT ST,1.0,Outer Richmond,"(37.781676594318, -122.492375229009)",Phone,,37.78168,-122.4924,RICHMOND
2409363,2013-05-25 13:51:04+00:00,2013-05-28 12:42:17+00:00,2013-05-28 12:42:17+00:00,Closed,resolved: Field Work has been completed       PUC NOTE: Bad odor in this area due to 14 MH covers over large MS at inter.This is an engineering problem. CBs clear.,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Intersection of 48TH AVE and LINCOLN WAY,1.0,Outer Sunset,"(37.7640760432412, -122.508331303541)",Phone,,37.76408,-122.5083,TARAVAL
6898136,2017-03-03 07:01:43+00:00,2017-03-07 20:08:48+00:00,2017-03-07 20:08:48+00:00,Closed,Field Work has been completed.,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"2510 CLEMENT ST, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.7821, -122.486)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/58b985463da16730e81579f9/report.jpg,37.78211,-122.4863,RICHMOND
1100171,2012-04-06 16:43:33+00:00,2012-04-17 14:17:00+00:00,2012-04-17 14:17:00+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"666 42ND AVE, SAN FRANCISCO, CA, 94121",1.0,,"(37.776103657, -122.502373807)",Phone,,37.7761,-122.5024,RICHMOND
5258206,2015-11-05 14:17:04+00:00,2015-11-09 10:34:36+00:00,2015-11-09 10:34:36+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"301 24TH AVE, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.783737256931, -122.484099069903)",Phone,,37.78374,-122.4841,RICHMOND
880704,2011-05-12 18:25:00+00:00,2011-06-06 10:31:02+00:00,2011-06-06 10:31:02+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"751 12TH AVE, SAN FRANCISCO, CA, 94118",1.0,,"(37.774095314, -122.470555732)",Phone,,37.77409,-122.4706,RICHMOND
1508267,2012-10-03 20:42:09+00:00,2012-10-10 00:47:07+00:00,2012-10-10 00:47:07+00:00,Closed,"resolved: Field Work has been completed ck cbs odorMade Vac card for all 3 CBs at inter,all 3 packed with debris,used newberry in SW CB.",PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 17TH AVE and BALBOA ST,1.0,Inner Richmond,"(37.77669283412, -122.475888179623)",Phone,,37.77669,-122.4759,RICHMOND
1072185,2012-02-24 20:05:23+00:00,2012-02-27 10:16:05+00:00,2012-02-27 10:16:05+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,"106 18TH AVE, SAN FRANCISCO, CA, 94121",1.0,Lake Street,"(37.785897604255, -122.477471470388)",Phone,,37.7859,-122.4775,RICHMOND
1228477,2012-08-03 14:49:47+00:00,2012-08-06 09:13:53+00:00,2012-08-06 09:13:53+00:00,Closed,resolved: Field Work has been completed ex c/bs odorsodors coming from m/s informed tomio at berm for follow up also made out service card for vac crew to claen s/e c/b full of sand,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 48TH AVE and LINCOLN WAY,1.0,Outer Sunset,"(37.7640760432412, -122.508331303541)",Phone,,37.76408,-122.5083,TARAVAL
6363898,2016-09-29 10:25:03+00:00,2016-11-28 16:19:10+00:00,2016-11-28 16:19:10+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of CABRILLO ST and 10TH AVE,1.0,Inner Richmond,"(37.7751739709412, -122.468158382104)",Phone,,37.77517,-122.4682,RICHMOND
6085549,2016-07-15 13:56:07+00:00,2016-07-26 17:37:07+00:00,2016-07-26 17:37:07+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 10TH AVE and CABRILLO ST,1.0,Inner Richmond,"(37.7751739709412, -122.468158382104)",Phone,,37.77517,-122.4682,RICHMOND
8166108,2017-10-20 15:02:00+00:00,2017-10-23 06:20:02+00:00,2017-10-23 06:20:02+00:00,Closed,Field Work has been completed.,PUC Sewer Ops,Sewer Issues,Odor,From_manhole_cover,Intersection of LINCOLN WAY and 36TH AVE,1.0,Outer Sunset,"(37.7646380395689, -122.495475367833)",Phone,,37.76464,-122.4955,TARAVAL
7140209,2017-05-11 18:29:46+00:00,2017-05-24 15:52:05+00:00,2017-05-24 15:52:05+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_manhole_cover,Intersection of 18TH AVE and LAKE ST,1.0,Lake Street,"(37.7860796574497, -122.477643923411)",Phone,,37.78608,-122.4776,RICHMOND
2925680,2013-10-09 13:47:29+00:00,,2013-10-09 14:07:21+00:00,Open,Open,PUC - Sewer - G,Sewer Issues,Odor,From_other_location,"707 10TH AVE, SAN FRANCISCO, CA, 94118",1.0,,"(37.774936164, -122.468401251)",Phone,,37.77494,-122.4684,RICHMOND
1104862,2012-04-13 17:18:11+00:00,2012-04-13 20:12:00+00:00,2012-04-13 20:12:00+00:00,Closed,,DPW Ops Queue,Sewer Issues,Odor,From_other_location,"57 MASONIC AVE, SAN FRANCISCO, CA, 94118",1.0,Lone Mountain,"(37.781517058799, -122.447813712954)",Phone,,37.78152,-122.4478,PARK
5216572,2015-10-22 19:51:00+00:00,2015-11-18 09:43:21+00:00,2015-11-18 09:43:21+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of CABRILLO ST and 10TH AVE,1.0,Inner Richmond,"(37.7751739709412, -122.468158382104)",Phone,,37.77517,-122.4682,RICHMOND
6676497,2016-12-30 14:43:54+00:00,2017-01-07 07:25:08+00:00,2017-01-07 07:25:08+00:00,Closed,TRANS TO PUC,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 18TH AVE and BALBOA ST,1.0,Inner Richmond,"(37.7766440163455, -122.476964919922)",Mobile/Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5866e31d3da1350696e7428f/report.jpg,37.77666,-122.477,RICHMOND
2902401,2013-10-03 11:18:02+00:00,2013-10-24 14:12:55+00:00,2013-10-24 14:12:55+00:00,Closed,resolved: Field Work has been completed       PUC NOTE: clean se cb on 10/22/2013,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of 9TH AVE and ANZA ST,1.0,Inner Richmond,"(37.7789457665615, -122.467354004003)",Phone,,37.77895,-122.4674,RICHMOND
7195285,2017-05-27 12:53:46+00:00,2017-06-02 10:42:13+00:00,2017-06-02 10:42:13+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of GEARY BLVD and 6TH AVE,1.0,Inner Richmond,"(37.7810187876541, -122.464279141672)",Phone,,37.78102,-122.4643,RICHMOND
5007918,2015-08-17 17:25:11+00:00,2015-08-21 09:18:02+00:00,2015-08-21 09:18:02+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_catch_basin,Intersection of CLEMENT ST and 30TH AVE,1.0,Outer Richmond,"(37.7817754420093, -122.490230991407)",Phone,,37.78177,-122.4902,RICHMOND
5103945,2015-09-16 16:25:26+00:00,,2015-09-16 16:29:21+00:00,Open,open,PUC Sewer Ops,Sewer Issues,Odor,From_manhole_cover,Intersection of 32ND AVE and CLEMENT ST,1.0,Outer Richmond,"(37.781676594318, -122.492375229009)",Phone,,37.78168,-122.4924,RICHMOND
2390017,2013-05-21 00:14:21+00:00,2013-05-21 06:05:38+00:00,2013-05-21 06:05:38+00:00,Closed,,311 Supervisor Queue,Sewer Issues,Odor,From_other_location,Intersection of GREAT HWY and LINCOLN WAY,1.0,Golden Gate Park,"(37.7640008461224, -122.510341398)",Phone,,37.764,-122.5103,RICHMOND
5132868,2015-09-25 16:29:05+00:00,2015-09-30 14:15:09+00:00,2015-09-30 14:15:09+00:00,Closed,resolved: Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,"739 12TH AVE, SAN FRANCISCO, CA, 94118",1.0,Inner Richmond,"(37.774316454791, -122.470381553162)",Phone,,37.77431,-122.4704,RICHMOND
933824,2011-08-03 18:24:17+00:00,2011-08-29 15:35:28+00:00,2011-08-29 15:35:28+00:00,Closed,,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Intersection of 32ND AVE and CLEMENT ST,1.0,Outer Richmond,"(37.781676594318, -122.492375229009)",Phone,,37.78168,-122.4924,RICHMOND
5000095,2015-08-14 20:37:12+00:00,,2015-08-27 20:58:15+00:00,Open,accepted,PUC Sewer Ops,Sewer Issues,Odor,From_other_location,Intersection of 48TH AVE and LINCOLN WAY,1.0,Outer Sunset,"(37.7640760432412, -122.508331303541)",Phone,,37.76408,-122.5083,TARAVAL
1965719,2013-02-01 16:43:27+00:00,,2013-02-01 17:08:14+00:00,Open,Open,PUC - Sewer - G,Sewer Issues,Odor,From_other_location,Intersection of 47TH AVE and LINCOLN WAY,1.0,Outer Sunset,"(37.7641162258204, -122.507262483528)",Phone,,37.76411,-122.5073,TARAVAL
5405881,2015-12-26 15:52:37+00:00,2016-08-02 11:19:47+00:00,2016-08-02 11:19:47+00:00,Closed,Maximo Service Request has been resolved,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"308 25TH AVE, SAN FRANCISCO, CA, 94121",1.0,,"(37.78364481, -122.484818035)",Mobile/Open311,,37.78352,-122.4849,RICHMOND
4217932,2014-11-17 15:12:46+00:00,2014-11-25 16:17:56+00:00,2014-11-25 16:17:56+00:00,Closed,resolved: Maximo Service Request has been resolved.,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"680 9TH AVE, SAN FRANCISCO, CA, 94118",1.0,,"(37.775589866, -122.466973716)",Mobile/Open311,,37.77571,-122.467,RICHMOND
2709026,2013-08-13 12:10:26+00:00,2013-08-13 12:51:05+00:00,2013-08-13 12:51:05+00:00,Closed,"resolved: Field Work has been completed       PUC NOTE: Flushed-Relieved SS at trap,made it to MS.Washed down sidewalk,LN,MS running.",PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"806 39TH AVE, SAN FRANCISCO, CA, 94121",1.0,Outer Richmond,"(37.77356193829, -122.499145762803)",Phone,,37.77356,-122.4991,RICHMOND
6261671,2016-08-31 15:54:29+00:00,2016-09-10 09:58:00+00:00,2016-09-10 09:58:00+00:00,Closed,Field Work has been completed.       Add'l Notes:     broken trap broken trap flushed to m/s city side ok visible roots in upper lateral,PUC Sewer Ops,Sewer Issues,Odor,From_side_sewer_vent,"308 EWING TER, SAN FRANCISCO, CA, 94118",1.0,Lone Mountain,"(37.779471775679, -122.44866796011)",Phone,,37.77947,-122.4487,PARK
