unique_key,category,descript,dayofweek,pddistrict,resolution,address,longitude,latitude,location,pdid,timestamp
140841035,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",14084103506241,2014-10-04 18:30:00+00:00
121031708,MISSING PERSON,MISSING ADULT,Saturday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",12103170874000,2012-12-22 14:00:00+00:00
60771542,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Wednesday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",6077154228165,2006-07-19 10:00:00+00:00
50688521,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",5068852128165,2005-06-16 00:01:00+00:00
150083471,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Tuesday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",15008347151041,2015-01-27 20:40:00+00:00
110894995,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",11089499506242,2011-11-03 19:00:00+00:00
70934382,MISSING PERSON,FOUND PERSON,Wednesday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",7093438275000,2007-09-12 10:28:00+00:00
100157991,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,PARK,"ARREST, CITED",1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",10015799128150,2010-02-17 02:20:00+00:00
140944441,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Friday,PARK,NONE,1400 Block of WALLER ST,-122.44796773714,37.768862804,"(37.768862804, -122.44796773714)",14094444105083,2014-11-07 16:14:00+00:00
51242691,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,LINCOLN WY / 4TH AV,-122.461088893,37.766159313973,"(37.766159313973, -122.461088893)",5124269106244,2005-11-02 23:30:00+00:00
90561288,FORGERY/COUNTERFEITING,"FORGERY, FALSE ENTRIES IN RECORDS OR RETURNS",Thursday,PARK,NONE,100 Block of BALCETA AV,-122.45805245415,37.74554880052,"(37.74554880052, -122.45805245415)",9056128809130,2009-05-28 13:00:00+00:00
50307947,BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Sunday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",5030794705043,2005-03-06 16:00:00+00:00
90061329,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",9006132964020,2009-01-16 10:00:00+00:00
50454924,BURGLARY,"BURGLARY OF RESIDENCE, ATTEMPTED FORCIBLE ENTRY",Sunday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",5045492405042,2005-04-24 16:40:00+00:00
100537882,DRUG/NARCOTIC,PLANTING/CULTIVATING MARIJUANA,Thursday,PARK,"ARREST, BOOKED",200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",10053788216020,2010-06-10 13:00:00+00:00
31128419,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",3112841928160,2003-09-23 19:00:00+00:00
31128419,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",3112841906241,2003-09-23 19:00:00+00:00
100537882,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Thursday,PARK,"ARREST, BOOKED",200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",10053788216705,2010-06-10 13:00:00+00:00
30738083,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",3073808306243,2003-06-17 18:30:00+00:00
50801698,ASSAULT,THREATS AGAINST LIFE,Monday,PARK,NONE,200 Block of CRESTMONT DR,-122.45971647828,37.75664997762,"(37.75664997762, -122.45971647828)",5080169819057,2005-07-18 13:40:00+00:00
41142982,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Tuesday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",4114298207043,2004-10-05 23:00:00+00:00
130044562,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",13004456205041,2013-01-16 08:30:00+00:00
61276135,NON-CRIMINAL,AIDED CASE,Friday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",6127613551040,2006-12-01 08:04:00+00:00
51130541,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Thursday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",5113054106240,2005-10-06 20:30:00+00:00
60128012,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",6012801228160,2006-02-02 19:00:00+00:00
51011327,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,PARK,NONE,0 Block of EUREKA ST,-122.43831984363,37.76198690411,"(37.76198690411, -122.43831984363)",5101132707023,2005-09-07 20:00:00+00:00
70530043,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Friday,PARK,NONE,1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",7053004328100,2007-05-25 04:00:00+00:00
50054734,ASSAULT,INFLICT INJURY ON COHABITEE,Friday,PARK,NONE,1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",5005473415040,2005-01-14 23:00:00+00:00
31046645,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,PARK,NONE,1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",3104664505013,2003-09-02 06:30:00+00:00
50380664,WARRANTS,WARRANT ARREST,Wednesday,PARK,"ARREST, BOOKED",1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",5038066463010,2005-04-06 21:15:00+00:00
120040649,NON-CRIMINAL,FOUND PROPERTY,Sunday,PARK,NONE,1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",12004064972000,2012-01-15 08:40:00+00:00
50990188,NON-CRIMINAL,LOST PROPERTY,Thursday,PARK,NONE,1100 Block of STANYAN ST,-122.4523847829,37.763247335315,"(37.763247335315, -122.4523847829)",5099018871000,2005-09-01 20:00:00+00:00
50836134,ASSAULT,STALKING,Tuesday,PARK,"ARREST, BOOKED",300 Block of FREDERICK ST,-122.4485542877,37.766882416805,"(37.766882416805, -122.4485542877)",5083613415201,2005-07-26 20:00:00+00:00
150013149,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,PARK,NONE,300 Block of FREDERICK ST,-122.4485542877,37.766882416805,"(37.766882416805, -122.4485542877)",15001314906304,2014-12-30 21:00:00+00:00
80547038,ASSAULT,BATTERY,Sunday,PARK,"ARREST, BOOKED",300 Block of FREDERICK ST,-122.4485542877,37.766882416805,"(37.766882416805, -122.4485542877)",8054703804134,2008-05-25 02:30:00+00:00
120721764,NON-CRIMINAL,"CIVIL SIDEWALKS, CITATION",Sunday,PARK,NONE,300 Block of FREDERICK ST,-122.4485542877,37.766882416805,"(37.766882416805, -122.4485542877)",12072176464002,2012-09-09 08:45:00+00:00
140546627,OTHER OFFENSES,FALSE PERSONATION TO RECEIVE MONEY OR PROPERTY,Friday,PARK,NONE,300 Block of FREDERICK ST,-122.4485542877,37.766882416805,"(37.766882416805, -122.4485542877)",14054662709029,2014-05-23 17:00:00+00:00
